pop_size, elite_size, mut_rate, mut_type, cross_type, time_avg (s), best_distance_avg,  nr_generations_avg
80, 30, 0.0001, swap, order, 17.120073080062866, 25193.6, 142.2
80, 30, 0.0001, swap, cycle, 4.229690074920654, 34767.2, 32.6
80, 30, 0.0001, invert, order, 14.371041107177735, 25373.6, 119.4
80, 30, 0.0001, invert, cycle, 4.083259344100952, 34682.6, 31.4
80, 30, 0.0001, insert, order, 16.233464431762695, 24796.0, 135.2
80, 30, 0.0001, insert, cycle, 4.216840553283691, 34320.6, 32.2
80, 30, 0.0001, disp, order, 15.358694982528686, 25384.2, 126
80, 30, 0.0001, disp, cycle, 4.185517978668213, 34688.6, 31
80, 30, 0.001, swap, order, 14.939575338363648, 25263.2, 124
80, 30, 0.001, swap, cycle, 4.069163036346436, 35099.6, 31
80, 30, 0.001, invert, order, 17.64659194946289, 24630.600000000002, 147
80, 30, 0.001, invert, cycle, 3.738104486465454, 34996.0, 28.8
80, 30, 0.001, insert, order, 18.35767321586609, 24211.600000000002, 152.8
80, 30, 0.001, insert, cycle, 4.338991641998291, 35105.2, 33.4
80, 30, 0.001, disp, order, 14.288830852508545, 25922.8, 118.8
80, 30, 0.001, disp, cycle, 4.53424072265625, 34310.2, 34.6
80, 30, 0.01, swap, order, 23.8444917678833, 22315.2, 200.2
80, 30, 0.01, swap, cycle, 8.514234685897828, 34326.6, 70
80, 30, 0.01, invert, order, 25.346906232833863, 20920.0, 212.4
80, 30, 0.01, invert, cycle, 10.73895983695984, 33713.0, 90.2
80, 30, 0.01, insert, order, 25.00984444618225, 23479.2, 208.4
80, 30, 0.01, insert, cycle, 8.900322961807252, 32551.2, 72.6
80, 30, 0.01, disp, order, 28.575731468200683, 20593.0, 240.8
80, 30, 0.01, disp, cycle, 6.572644424438477, 33828.2, 53
80, 30, 0.1, swap, order, 29.718700981140138, 19975.4, 250
80, 30, 0.1, swap, cycle, 28.602518320083618, 25439.6, 250
80, 30, 0.1, invert, order, 29.573208141326905, 18941.6, 250
80, 30, 0.1, invert, cycle, 28.881757926940917, 25317.0, 250
80, 30, 0.1, insert, order, 29.646627616882324, 20379.4, 250
80, 30, 0.1, insert, cycle, 28.842614269256593, 25685.8, 250
80, 30, 0.1, disp, order, 27.59710192680359, 20343.0, 231.6
80, 30, 0.1, disp, cycle, 28.991156768798827, 25645.0, 250
80, 60, 0.0001, swap, order, 9.786995649337769, 31331.2, 102.8
80, 60, 0.0001, swap, cycle, 5.110499429702759, 34957.2, 50.2
80, 60, 0.0001, invert, order, 10.818573474884033, 30770.4, 113.2
80, 60, 0.0001, invert, cycle, 3.2241717338562013, 35828.2, 30.4
80, 60, 0.0001, insert, order, 6.154561853408813, 32691.8, 63
80, 60, 0.0001, insert, cycle, 4.455190563201905, 35735.2, 43.6
80, 60, 0.0001, disp, order, 8.904624605178833, 31412.600000000002, 93
80, 60, 0.0001, disp, cycle, 4.160972213745117, 35858.4, 40
80, 60, 0.001, swap, order, 4.7944104194641115, 34122.0, 49
80, 60, 0.001, swap, cycle, 4.630839490890503, 35030.2, 45.2
80, 60, 0.001, invert, order, 4.347189712524414, 34233.4, 44.4
80, 60, 0.001, invert, cycle, 4.041244220733643, 35469.2, 39.2
80, 60, 0.001, insert, order, 6.412738609313965, 33052.4, 66.2
80, 60, 0.001, insert, cycle, 4.2417888164520265, 35400.8, 41
80, 60, 0.001, disp, order, 15.341942930221558, 28235.4, 159.8
80, 60, 0.001, disp, cycle, 4.115477180480957, 35832.0, 39.6
80, 60, 0.01, swap, order, 5.292593288421631, 33780.8, 54.2
80, 60, 0.01, swap, cycle, 4.266472196578979, 35548.6, 41.6
80, 60, 0.01, invert, order, 6.030405855178833, 32890.0, 62.2
80, 60, 0.01, invert, cycle, 4.2847082138061525, 35521.8, 41.4
80, 60, 0.01, insert, order, 10.759270668029785, 30412.4, 113
