pop_size, elite_size, mut_rate, mut_type, cross_type, time_avg (s), best_distance_avg,  nr_generations_avg
150, 30, 0.001, insert, order, 34.22123198509216, 21976.8, 141.8
150, 30, 0.001, insert, cycle, 10.405492353439332, 35450.8, 41.8
150, 30, 0.001, disp, order, 32.295910120010376, 23340.0, 133.2
150, 30, 0.001, disp, cycle, 9.82409439086914, 36008.6, 39
150, 30, 0.01, swap, order, 51.60784702301025, 20508.8, 214.2
150, 30, 0.01, swap, cycle, 24.16082673072815, 32005.399999999998, 100
150, 30, 0.01, invert, order, 54.170201253890994, 17824.0, 225.8
150, 30, 0.01, invert, cycle, 23.908048725128175, 33712.4, 98.6
150, 30, 0.01, insert, order, 52.44396300315857, 20000.0, 218.4
150, 30, 0.01, insert, cycle, 29.83906650543213, 31793.6, 122.6
150, 30, 0.01, disp, order, 49.287312269210815, 19872.8, 205.2
150, 30, 0.01, disp, cycle, 15.51587996482849, 33277.0, 63
150, 30, 0.1, swap, order, 59.719378757476804, 18045.2, 250
150, 30, 0.1, swap, cycle, 59.615447998046875, 23055.2, 250
150, 30, 0.1, invert, order, 59.61764740943909, 16854.8, 250
150, 30, 0.1, invert, cycle, 59.65689678192139, 21478.8, 250
150, 30, 0.1, insert, order, 59.7586585521698, 18026.8, 250
150, 30, 0.1, insert, cycle, 59.44589524269104, 22896.2, 250
150, 30, 0.1, disp, order, 59.318961477279665, 16813.4, 250
150, 30, 0.1, disp, cycle, 59.9854019165039, 22281.0, 250
150, 60, 0.0001, swap, order, 30.28725700378418, 23725.2, 148
150, 60, 0.0001, swap, cycle, 6.660965824127198, 36350.2, 30.4
150, 60, 0.0001, invert, order, 33.78735527992249, 22444.4, 165
150, 60, 0.0001, invert, cycle, 7.6500872611999515, 35263.2, 35.8
150, 60, 0.0001, insert, order, 31.265124464035033, 23156.0, 154.4
150, 60, 0.0001, insert, cycle, 8.902451086044312, 34570.0, 41.8
150, 60, 0.0001, disp, order, 36.43275499343872, 21300.8, 177.6
150, 60, 0.0001, disp, cycle, 9.727615880966187, 33203.8, 46
150, 60, 0.001, swap, order, 33.800136518478396, 22661.2, 166.4
150, 60, 0.001, swap, cycle, 8.473444557189941, 34686.6, 39.8
150, 60, 0.001, invert, order, 33.97203640937805, 21911.0, 167.2
150, 60, 0.001, invert, cycle, 9.53572449684143, 34738.0, 44.8
150, 60, 0.001, insert, order, 29.55277361869812, 23299.6, 144.4
150, 60, 0.001, insert, cycle, 8.190290117263794, 35079.0, 37.8
150, 60, 0.001, disp, order, 33.57892551422119, 21581.2, 163.6
150, 60, 0.001, disp, cycle, 8.161426305770874, 34898.2, 37.8
150, 60, 0.01, swap, order, 49.97195286750794, 20216.0, 244.6
150, 60, 0.01, swap, cycle, 14.479719495773315, 32228.600000000002, 69.6
150, 60, 0.01, invert, order, 45.22098340988159, 19921.6, 224
150, 60, 0.01, invert, cycle, 22.890958738327026, 33318.6, 112
150, 60, 0.01, insert, order, 39.53713574409485, 21284.0, 194.6
150, 60, 0.01, insert, cycle, 18.980693960189818, 33770.4, 92
150, 60, 0.01, disp, order, 43.085189485549925, 19938.6, 212.4
150, 60, 0.01, disp, cycle, 16.088856554031373, 33174.0, 78
150, 60, 0.1, swap, order, 50.27593765258789, 18716.8, 250
150, 60, 0.1, swap, cycle, 48.982209300994874, 24195.0, 242
150, 60, 0.1, invert, order, 46.99982261657715, 19389.6, 233.6
150, 60, 0.1, invert, cycle, 50.24041194915772, 22758.0, 250
150, 60, 0.1, insert, order, 50.31986660957337, 18297.2, 250
150, 60, 0.1, insert, cycle, 50.2883964061737, 23986.6, 250
150, 60, 0.1, disp, order, 27.249274063110352, 24831.0, 135.4
150, 60, 0.1, disp, cycle, 50.3610613822937, 23249.0, 250
300, 30, 0.0001, swap, order, 142.442716217041, 21349.0, 167.2
300, 30, 0.0001, swap, cycle, 43.53492698669434, 32080.8, 49.4
300, 30, 0.0001, invert, order, 155.00426468849182, 20890.6, 183.2
300, 30, 0.0001, invert, cycle, 42.612000179290774, 33030.0, 48.8
300, 30, 0.0001, insert, order, 155.82397012710572, 20936.2, 183.8
300, 30, 0.0001, insert, cycle, 39.343563652038576, 33280.0, 44.8
300, 30, 0.0001, disp, order, 143.92735543251038, 21238.2, 169.4
300, 30, 0.0001, disp, cycle, 44.81440167427063, 33265.4, 51
300, 30, 0.001, swap, order, 170.74297909736634, 21045.6, 202.6
300, 30, 0.001, swap, cycle, 41.99883275032043, 32526.0, 48.2
300, 30, 0.001, invert, order, 193.07471575737, 18491.8, 228.6
300, 30, 0.001, invert, cycle, 39.880081224441525, 32503.8, 45.4
300, 30, 0.001, insert, order, 176.61482081413268, 20585.8, 209.2
300, 30, 0.001, insert, cycle, 54.529267168045045, 31989.2, 62.4
300, 30, 0.001, disp, order, 173.14972038269042, 19345.0, 203.8
300, 30, 0.001, disp, cycle, 48.61677794456482, 32774.6, 56
300, 30, 0.01, swap, order, 174.21254420280457, 21260.0, 206.6
300, 30, 0.01, swap, cycle, 131.0339602470398, 29260.800000000003, 152
300, 30, 0.01, invert, order, 209.9569881916046, 16563.2, 250
300, 30, 0.01, invert, cycle, 183.13966732025148, 26774.2, 215.4
300, 30, 0.01, insert, order, 2464.821776342392, 19134.8, 248
300, 30, 0.01, insert, cycle, 211.31423363685607, 28766.8, 163.6
300, 30, 0.01, disp, order, 351.0487179279327, 16769.4, 250
300, 30, 0.01, disp, cycle, 181.40192017555236, 29216.2, 122
300, 30, 0.1, swap, order, 2609.1669585227964, 19883.2, 220.8
300, 30, 0.1, swap, cycle, 216.30364828109742, 21879.8, 250
300, 30, 0.1, invert, order, 199.51748023033142, 18388.8, 233.8
300, 30, 0.1, invert, cycle, 216.04227814674377, 19673.2, 250
300, 30, 0.1, insert, order, 177.2394407272339, 21262.8, 206.4
300, 30, 0.1, insert, cycle, 216.661461687088, 20889.6, 250
300, 30, 0.1, disp, order, 158.40484123229982, 21655.6, 185.4
300, 30, 0.1, disp, cycle, 215.82035646438598, 20755.4, 250
300, 60, 0.0001, swap, order, 97.74198670387268, 23392.4, 122.8
300, 60, 0.0001, swap, cycle, 33.66521739959717, 33197.2, 41
300, 60, 0.0001, invert, order, 136.54115996360778, 19518.8, 172.4
300, 60, 0.0001, invert, cycle, 32.900764274597165, 34111.0, 39.8
300, 60, 0.0001, insert, order, 131.91142497062683, 20355.6, 166.2
300, 60, 0.0001, insert, cycle, 34.30432629585266, 32623.0, 41.8
300, 60, 0.0001, disp, order, 137.95678162574768, 20370.0, 173.8
300, 60, 0.0001, disp, cycle, 38.811783695220946, 32712.8, 47.4
300, 60, 0.001, swap, order, 101.41066484451294, 24058.8, 127.6
300, 60, 0.001, swap, cycle, 40.05155663490295, 33623.6, 48.8
300, 60, 0.001, invert, order, 163.05620102882386, 18285.4, 206.8
300, 60, 0.001, invert, cycle, 43.46575813293457, 31925.4, 53.2
